metric,experiment,run,crossover_type,crossover_label,n_generations,first_generation,last_generation,first_value,last_value,last_minus_first,slope_per_generation,intercept,r_value,r_squared,slope_p_value,slope_std_err
elite_lineage_parent_child_distance,flat_arithmetic_recombination_25pop_25off_50gen_1000steps,1,arithmetic_recombination,arithmetic recombination,16,4,41,0.5180760347456518,0.0,-0.5180760347456518,-0.012536171543044813,0.36246370386390847,-0.6234801286943097,0.388727470876673,0.009863187961983034,0.004201416449982042
elite_lineage_parent_child_distance,flat_arithmetic_recombination_25pop_25off_50gen_1000steps,2,arithmetic_recombination,arithmetic recombination,27,1,49,0.41794251569448,0.0,-0.41794251569448,-0.007097547335200617,0.27989350413467884,-0.49978706459348027,0.2497871099349676,0.007943551054059615,0.002460059111235537
elite_lineage_parent_child_distance,flat_arithmetic_recombination_25pop_25off_50gen_1000steps,3,arithmetic_recombination,arithmetic recombination,18,1,43,0.4785957771057342,0.3666322368870812,-0.11196354021865301,-0.010919351254886684,0.4803967010848861,-0.6468307064635215,0.4183899628240983,0.003717641328516781,0.003218564101826253
elite_lineage_parent_child_distance,flat_arithmetic_recombination_25pop_25off_50gen_1000steps,4,arithmetic_recombination,arithmetic recombination,18,1,33,0.6705067032498994,0.0,-0.6705067032498994,-0.018308947002755517,0.5115053454789418,-0.7543363449947853,0.5690233213800917,0.00029809177707200803,0.003983503728855066
elite_lineage_parent_child_distance,flat_arithmetic_recombination_25pop_25off_50gen_1000steps,5,arithmetic_recombination,arithmetic recombination,11,2,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
elite_lineage_parent_child_distance,flat_arithmetic_recombination_25pop_25off_50gen_1000steps,6,arithmetic_recombination,arithmetic recombination,10,6,49,0.0,0.0,0.0,-0.0028976724516270574,0.163048136457224,-0.16142516401908746,0.02605808357858929,0.6559410477118335,0.006263247745838035
elite_lineage_parent_child_distance,flat_arithmetic_recombination_25pop_25off_50gen_1000steps,7,arithmetic_recombination,arithmetic recombination,13,1,47,0.724162277819603,0.0,-0.724162277819603,-0.008915920030606797,0.29388119331042184,-0.5580405633086439,0.3114092702978286,0.0474936106716208,0.003997464718020993
elite_lineage_parent_child_distance,flat_arithmetic_recombination_25pop_25off_50gen_1000steps,8,arithmetic_recombination,arithmetic recombination,20,1,49,0.704726518133579,0.2567530849599131,-0.4479734331736659,-0.010005454014709578,0.4292341602086117,-0.5709655353249706,0.32600164252893027,0.008554710837542218,0.003390939745057197
elite_lineage_parent_child_distance,flat_arithmetic_recombination_25pop_25off_50gen_1000steps,9,arithmetic_recombination,arithmetic recombination,8,14,38,0.4415816825353975,0.468596357200262,0.027014674664864513,-0.01322896233592247,0.6375755473130732,-0.3900121124775358,0.15210944787919004,0.3394990150752616,0.012750932826313949
elite_lineage_parent_child_distance,flat_arithmetic_recombination_25pop_25off_50gen_1000steps,10,arithmetic_recombination,arithmetic recombination,10,1,29,0.2975985143029381,0.0,-0.2975985143029381,-0.011126146494443236,0.22671525606522763,-0.6732961346750445,0.4533276849683556,0.032837495514014624,0.004319735936773084
