experiment,run,crossover_type,final_generation,final_best_robot_id,final_best_fitness,final_best_born_generation,child_id,parent_id,parent_choice,chosen_parent_slot,original_child_generation,generation_zero_based,step_from_final_best,distance
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,2,arithmetic_recombination,50,1226,27.53740952667045,50,906,894,elite_parent,parent1,37,36,9,0.0
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,2,arithmetic_recombination,50,1226,27.53740952667045,50,938,906,elite_parent,parent2,38,37,8,0.0
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,2,arithmetic_recombination,50,1226,27.53740952667045,50,987,938,elite_parent,parent1,40,39,7,0.0
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,2,arithmetic_recombination,50,1226,27.53740952667045,50,1018,987,elite_parent,parent2,41,40,6,0.0
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,2,arithmetic_recombination,50,1226,27.53740952667045,50,1099,1018,elite_parent,parent1,44,43,5,0.0
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,2,arithmetic_recombination,50,1226,27.53740952667045,50,1147,1099,elite_parent,parent2,46,45,4,0.0
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,2,arithmetic_recombination,50,1226,27.53740952667045,50,1166,1147,elite_parent,parent2,47,46,3,0.0
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,2,arithmetic_recombination,50,1226,27.53740952667045,50,1181,1166,elite_parent,parent2,48,47,2,0.0
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,2,arithmetic_recombination,50,1226,27.53740952667045,50,1201,1181,elite_parent,parent1,49,48,1,0.0
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,2,arithmetic_recombination,50,1226,27.53740952667045,50,1226,1201,elite_parent,parent1,50,49,0,0.0
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,3,arithmetic_recombination,50,1077,66.3882035717333,44,26,2,elite_parent,parent2,2,1,17,0.4785957771057342
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,3,arithmetic_recombination,50,1077,66.3882035717333,44,70,26,elite_parent,parent1,3,2,16,0.3030197809621032
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,3,arithmetic_recombination,50,1077,66.3882035717333,44,335,70,elite_parent,parent2,14,13,15,0.4606423319938055
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,3,arithmetic_recombination,50,1077,66.3882035717333,44,357,335,elite_parent,parent1,15,14,14,0.5945233804373226
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,3,arithmetic_recombination,50,1077,66.3882035717333,44,426,357,elite_parent,parent2,18,17,13,0.5467414472932026
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,3,arithmetic_recombination,50,1077,66.3882035717333,44,646,426,elite_parent,parent2,26,25,12,0.0
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,3,arithmetic_recombination,50,1077,66.3882035717333,44,682,646,elite_parent,parent1,28,27,11,0.0
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,3,arithmetic_recombination,50,1077,66.3882035717333,44,709,682,elite_parent,parent2,29,28,10,0.2006040868525617
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,3,arithmetic_recombination,50,1077,66.3882035717333,44,744,709,elite_parent,parent1,30,29,9,0.0
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,3,arithmetic_recombination,50,1077,66.3882035717333,44,779,744,elite_parent,parent1,32,31,8,0.0
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,3,arithmetic_recombination,50,1077,66.3882035717333,44,882,779,elite_parent,parent2,36,35,7,0.0
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,3,arithmetic_recombination,50,1077,66.3882035717333,44,902,882,elite_parent,parent2,37,36,6,0.0
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,3,arithmetic_recombination,50,1077,66.3882035717333,44,930,902,elite_parent,parent1,38,37,5,0.0
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,3,arithmetic_recombination,50,1077,66.3882035717333,44,964,930,elite_parent,parent1,39,38,4,0.0
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,3,arithmetic_recombination,50,1077,66.3882035717333,44,1002,964,elite_parent,parent2,41,40,3,0.2476253018076836
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,3,arithmetic_recombination,50,1077,66.3882035717333,44,1035,1002,elite_parent,parent1,42,41,2,0.0
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,3,arithmetic_recombination,50,1077,66.3882035717333,44,1062,1035,elite_parent,parent2,43,42,1,0.0
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,3,arithmetic_recombination,50,1077,66.3882035717333,44,1077,1062,elite_parent,parent2,44,43,0,0.3666322368870812
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,4,arithmetic_recombination,50,842,37.166916996468814,34,35,25,elite_parent,parent1,2,1,17,0.6705067032498994
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,4,arithmetic_recombination,50,842,37.166916996468814,34,57,35,elite_parent,parent1,3,2,16,0.315822162293939
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,4,arithmetic_recombination,50,842,37.166916996468814,34,131,57,elite_parent,parent2,6,5,15,0.2932579955476626
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,4,arithmetic_recombination,50,842,37.166916996468814,34,227,131,elite_parent,parent1,10,9,14,0.6019269678108627
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,4,arithmetic_recombination,50,842,37.166916996468814,34,321,227,elite_parent,parent2,13,12,13,0.4429140317332166
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,4,arithmetic_recombination,50,842,37.166916996468814,34,354,321,elite_parent,parent1,15,14,12,0.4438537741638638
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,4,arithmetic_recombination,50,842,37.166916996468814,34,399,354,elite_parent,parent2,16,15,11,0.0
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,4,arithmetic_recombination,50,842,37.166916996468814,34,446,399,elite_parent,parent1,18,17,10,0.0
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,4,arithmetic_recombination,50,842,37.166916996468814,34,453,446,elite_parent,parent1,19,18,9,0.0
