metric,crossover_type,crossover_label,generation_zero_based,n_runs,mean,std,median,q25,q75,iqr,min,max,ci95_low,ci95_high
elite_lineage_parent_child_distance,arithmetic_recombination,arithmetic recombination,1,6,0.548922051051039,0.17608630855572732,0.5745512401778168,0.43310583104729355,0.6961715644126591,0.2630657333653656,0.2975985143029381,0.724162277819603,0.36413080308460155,0.7337132990174764
elite_lineage_parent_child_distance,arithmetic_recombination,arithmetic recombination,2,5,0.3228843299311538,0.2562578072014765,0.3030197809621032,0.2778016650687004,0.315822162293939,0.03802049722523859,0.0,0.7177780413310265,0.004698236470438544,0.641070423391869
elite_lineage_parent_child_distance,arithmetic_recombination,arithmetic recombination,3,2,0.20053826360191915,0.2836039321605849,0.20053826360191915,0.10026913180095957,0.3008073954028787,0.20053826360191912,0.0,0.4010765272038383,-2.347541971212654,2.7486184984164925
elite_lineage_parent_child_distance,arithmetic_recombination,arithmetic recombination,4,3,0.395771344813077,0.26736687709278484,0.5180760347456518,0.303601622169621,0.5490934124228204,0.2454917902531994,0.0891272095935902,0.5801107900999891,-0.2684047974710034,1.0599474870971575
elite_lineage_parent_child_distance,arithmetic_recombination,arithmetic recombination,5,4,0.3523659206607522,0.3111631720604159,0.326839191302651,0.21994349666074692,0.45926161530265625,0.23931811864190933,0.0,0.7557853000377067,-0.14276412297134877,0.8474959642928531
elite_lineage_parent_child_distance,arithmetic_recombination,arithmetic recombination,6,5,0.26294533593867814,0.37140245441926256,0.0,0.0,0.5285082664011236,0.5285082664011236,0.0,0.7862184132922672,-0.19821172055823555,0.7241023924355918
elite_lineage_parent_child_distance,arithmetic_recombination,arithmetic recombination,7,1,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,
elite_lineage_parent_child_distance,arithmetic_recombination,arithmetic recombination,9,4,0.16437063084160455,0.2928774927041439,0.02777777777777775,0.0,0.19214840861938232,0.19214840861938232,0.0,0.6019269678108627,-0.3016628164370062,0.6304040781202153
elite_lineage_parent_child_distance,arithmetic_recombination,arithmetic recombination,10,1,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,
elite_lineage_parent_child_distance,arithmetic_recombination,arithmetic recombination,12,4,0.11072850793330415,0.22145701586660832,0.0,0.0,0.11072850793330415,0.11072850793330415,0.0,0.4429140317332166,-0.24165902302867887,0.46311603889528713
