experiment,crossover_type,run,first_child_generation,last_child_generation,morph_distance_first_mean,morph_distance_last_mean,morph_distance_last_minus_first,shape_distance_first_mean,shape_distance_last_mean,shape_distance_last_minus_first,occupied_union_material_distance_first_mean,occupied_union_material_distance_last_mean,occupied_union_material_distance_last_minus_first,material_substitution_distance_first_mean,material_substitution_distance_last_mean,material_substitution_distance_last_minus_first,trait_profile_distance_first_mean,trait_profile_distance_last_mean,trait_profile_distance_last_minus_first
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,arithmetic_recombination,1,2,50,0.2099805663496572,0.018268615071396366,-0.19171195127826082,0.33888888888888885,0.011111111111111106,-0.3277777777777777,0.8128574169791561,0.054000000000000006,-0.7588574169791561,0.26646031746031745,0.016,-0.25046031746031744,0.3317935065430049,0.021853846153846154,-0.3099396603891587
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,arithmetic_recombination,2,2,50,0.2001631397783684,0.061967269891461105,-0.1381958698869073,0.2462121212121212,0.04999999999999999,-0.1962121212121212,0.8225317008419776,0.19285714285714284,-0.6296745579848347,0.28474025974025974,0.042787878787878784,-0.24195238095238095,0.27130940473067094,0.08618045658045656,-0.18512894815021438
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,arithmetic_recombination,3,2,50,0.19672516119297428,0.12580199137235973,-0.07092316982061456,0.2611111111111111,0.17824074074074073,-0.0828703703703704,0.7289081474081474,0.45593378911393617,-0.2729743582942112,0.3082936507936508,0.21478174603174602,-0.09351190476190477,0.30897204024607866,0.201771615821715,-0.10720042442436367
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,arithmetic_recombination,4,2,50,0.18539444674380198,0.11566210837645981,-0.06973233836734218,0.22826086956521738,0.03333333333333331,-0.19492753623188408,0.6690398433247404,0.213015873015873,-0.45602397030886743,0.3739130434782609,0.064,-0.3099130434782609,0.28591152194233893,0.1677472527472527,-0.11816426919508624
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,arithmetic_recombination,5,2,50,0.1761684055127365,0.014942778794857232,-0.16122562671787927,0.1833333333333333,0.011111111111111112,-0.1722222222222222,0.61400238671717,0.03142857142857143,-0.5825738152885985,0.26839285714285716,0.01,-0.25839285714285715,0.26899273296148296,0.020476190476190478,-0.24851654248529248
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,arithmetic_recombination,6,2,50,0.21624433168161614,0.16219516448425833,-0.054049167197357806,0.2777777777777778,0.2391304347826087,-0.03864734299516909,0.7412652540929586,0.4627590116247961,-0.2785062424681625,0.2691399711399711,0.2210007916209962,-0.04813917951897492,0.29571081859188364,0.22157942915996937,-0.07413138943191427
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,arithmetic_recombination,7,2,50,0.2132660986645177,0.057485464221510435,-0.15578063444300727,0.2439613526570048,0.0497685185185185,-0.19419283413848631,0.7353625014901916,0.1821849446849447,-0.5531775568052468,0.4160392747349269,0.041071428571428564,-0.3749678461634983,0.31735299671322525,0.08351381257631257,-0.23383918413691268
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,arithmetic_recombination,8,2,50,0.2527416759021622,0.10237777403443939,-0.1503639018677228,0.3055555555555556,0.1288888888888889,-0.1766666666666667,0.8392896811008879,0.3249240069871649,-0.514365674113723,0.36504329004329,0.14550908242084712,-0.21953420762244288,0.3598037570402445,0.14041114179937708,-0.2193926152408674
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,arithmetic_recombination,9,2,50,0.21710189047891482,0.17935268620638398,-0.03774920427253084,0.29347826086956524,0.17708333333333334,-0.1163949275362319,0.7620095234600481,0.49294803028355655,-0.2690614931764916,0.22522429261559698,0.14371993746993747,-0.08150435514565951,0.3203753219792133,0.19456220662350465,-0.12581311535570866
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,arithmetic_recombination,10,2,50,0.21091928299580573,0.07306222840081382,-0.13785705459499192,0.24735449735449733,0.10333333333333332,-0.144021164021164,0.7794820718733763,0.3374302422723476,-0.4420518296010287,0.23492063492063492,0.21864935064935065,-0.01627128427128427,0.28961883429731144,0.12496729780613017,-0.16465153649118128
