metric,response_column,crossover_type,n_runs,mean,std,median,q25,q75,iqr,min,max,ci95_low,ci95_high
morph_distance,morph_distance_mean,arithmetic_recombination,10,0.11511027922409707,0.04789548431317341,0.12156836816467675,0.08591516004296453,0.15278900125209927,0.06687384120913474,0.0225771267863945,0.1670741750404456,0.08084791375672537,0.14937264469146877
morph_distance,morph_distance_mean,homologous_gene_block_recombination,10,0.12269927456355109,0.01924417887963472,0.1237238050807338,0.11098045340353715,0.1325113586560013,0.02153090525246415,0.0885734150029153,0.159540801936845,0.10893281830261776,0.13646573082448443
morph_distance,morph_distance_mean,promoter_aligned_cut_and_splice,10,0.19641170196111207,0.020080590302021962,0.1931345522187748,0.18677148612207634,0.1980176818966745,0.011246195774598178,0.16457606805722,0.2336702284263482,0.18204691301295642,0.21077649090926773
shape_distance,shape_distance_mean,arithmetic_recombination,10,0.11648238923312222,0.06323797371732306,0.10331867029796615,0.0732703943395626,0.16923476248274538,0.09596436814318278,0.0176330493725382,0.2066740926390049,0.07124466801598792,0.16172011045025653
shape_distance,shape_distance_mean,homologous_gene_block_recombination,10,0.1528896936448793,0.039996898741108164,0.1542451268033705,0.12639147666865339,0.17301428122821394,0.046622804559560554,0.0956254020770149,0.2278153788306072,0.12427763591374184,0.18150175137601676
shape_distance,shape_distance_mean,promoter_aligned_cut_and_splice,10,0.2552667362244267,0.04593562092788115,0.2601682589450153,0.23580438997029984,0.27907572714354556,0.043271337173245716,0.1771127866792334,0.331141646966115,0.2224063725644474,0.288127099884406
occupied_union_material_distance,occupied_union_material_distance_mean,arithmetic_recombination,10,0.3674405558492296,0.1472103215753096,0.41886384916911146,0.27516854209271424,0.47300533102032394,0.1978367889276097,0.0628448349144364,0.527440371672127,0.2621326356828329,0.47274847601562625
occupied_union_material_distance,occupied_union_material_distance_mean,homologous_gene_block_recombination,10,0.42392243362934295,0.034939222987221345,0.4293295380320879,0.42537764438612635,0.4378431999730085,0.012465555586882171,0.3617963672302376,0.4756800806244162,0.3989284191768173,0.4489164480818686
occupied_union_material_distance,occupied_union_material_distance_mean,promoter_aligned_cut_and_splice,10,0.6738369822546699,0.05482310153599926,0.682846999512019,0.6265960382687309,0.6981266712089922,0.0715306329402613,0.5989006715449771,0.7670506441001976,0.6346188979651538,0.713055066544186
material_substitution_distance,material_substitution_distance_mean,arithmetic_recombination,10,0.15592242303874163,0.08443447747784462,0.14454381406165928,0.08981745579149861,0.23162419946492996,0.14180674367343135,0.0193097801712805,0.2628495536186135,0.09552163647446855,0.2163232096030147
material_substitution_distance,material_substitution_distance_mean,homologous_gene_block_recombination,10,0.20178377240949721,0.05009622899685138,0.209337139692794,0.1703819530893425,0.23891060567050545,0.06852865258116295,0.100251452138038,0.2547499231317849,0.16594708903441807,0.23762045578457636
material_substitution_distance,material_substitution_distance_mean,promoter_aligned_cut_and_splice,10,0.3134643726771598,0.06373068969352641,0.3282553709476522,0.29255347832366274,0.3366705104411548,0.04411703211749207,0.1794303432328642,0.3930244907854082,0.2678741836837753,0.35905456167054434
trait_profile_distance,trait_profile_distance_mean,arithmetic_recombination,10,0.15978936886609413,0.06594990784389988,0.18858892809173872,0.1142017665008298,0.2123456825666853,0.09814391606585549,0.0278473702810357,0.2200275277793096,0.11261164684302463,0.20696709088916362
trait_profile_distance,trait_profile_distance_mean,homologous_gene_block_recombination,10,0.18071563096534665,0.027456518517719967,0.1847326683561233,0.17859252372616694,0.1906189508765205,0.012026427150353569,0.1152468902558741,0.2187402844109809,0.161074420830281,0.2003568411004123
trait_profile_distance,trait_profile_distance_mean,promoter_aligned_cut_and_splice,10,0.275874759368871,0.017135544560293946,0.27591843489151424,0.26445353306868147,0.28423747144118383,0.019783938372502363,0.2481693916331926,0.306280768667405,0.2636167292304067,0.28813278950733534
parent_pair_morph_distance,parent_pair_morph_distance_mean,arithmetic_recombination,10,0.07545574427287022,0.03878366611411935,0.07288986105000425,0.050774989737270224,0.09884586205890677,0.04807087232163655,0.0228078811649149,0.1427073182063952,0.047711580879976186,0.10319990766576426
parent_pair_morph_distance,parent_pair_morph_distance_mean,homologous_gene_block_recombination,10,0.07744753424337275,0.022809668148729704,0.0778123462510244,0.0580775955311469,0.0912542528429515,0.033176657311804594,0.0461508184450187,0.1125019661722053,0.06113048061069253,0.09376458787605296
parent_pair_morph_distance,parent_pair_morph_distance_mean,promoter_aligned_cut_and_splice,10,0.13284086236834985,0.03261621626052551,0.13085948390828395,0.1100228359261631,0.15404786039518203,0.04402502446901893,0.0795953904790408,0.1876811669703914,0.10950862682034035,0.15617309791635936
child_fitness,child_fitness_mean,arithmetic_recombination,10,15.329055394696098,7.572508121900427,11.756275213599949,10.612264948045397,17.203175991612834,6.590911043567438,7.762577497132871,30.194059555362504,9.912009414312685,20.746101375079512
