experiment,run,crossover_type,crossover_label,generation,generation_zero_based,population_size,metric_count,distance_matrix_average,mean_pairwise_morphological_distance
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,1,arithmetic_recombination,arithmetic recombination,35,34,25,8,full_n_by_n_with_diagonal,0.0
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,1,arithmetic_recombination,arithmetic recombination,36,35,25,8,full_n_by_n_with_diagonal,0.0
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,1,arithmetic_recombination,arithmetic recombination,37,36,25,8,full_n_by_n_with_diagonal,0.0
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,1,arithmetic_recombination,arithmetic recombination,38,37,25,8,full_n_by_n_with_diagonal,0.0
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,1,arithmetic_recombination,arithmetic recombination,39,38,25,8,full_n_by_n_with_diagonal,0.0
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,1,arithmetic_recombination,arithmetic recombination,40,39,25,8,full_n_by_n_with_diagonal,0.0
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,1,arithmetic_recombination,arithmetic recombination,41,40,25,8,full_n_by_n_with_diagonal,0.0
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,1,arithmetic_recombination,arithmetic recombination,42,41,25,8,full_n_by_n_with_diagonal,0.0
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,1,arithmetic_recombination,arithmetic recombination,43,42,25,8,full_n_by_n_with_diagonal,0.0
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,1,arithmetic_recombination,arithmetic recombination,44,43,25,8,full_n_by_n_with_diagonal,0.0
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,1,arithmetic_recombination,arithmetic recombination,45,44,25,8,full_n_by_n_with_diagonal,0.0
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,1,arithmetic_recombination,arithmetic recombination,46,45,25,8,full_n_by_n_with_diagonal,0.0
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,1,arithmetic_recombination,arithmetic recombination,47,46,25,8,full_n_by_n_with_diagonal,0.0
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,1,arithmetic_recombination,arithmetic recombination,48,47,25,8,full_n_by_n_with_diagonal,0.0
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,1,arithmetic_recombination,arithmetic recombination,49,48,25,8,full_n_by_n_with_diagonal,0.0
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,1,arithmetic_recombination,arithmetic recombination,50,49,25,8,full_n_by_n_with_diagonal,0.0
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,2,arithmetic_recombination,arithmetic recombination,1,0,25,8,full_n_by_n_with_diagonal,0.23333743507958188
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,2,arithmetic_recombination,arithmetic recombination,2,1,25,8,full_n_by_n_with_diagonal,0.2264107583912558
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,2,arithmetic_recombination,arithmetic recombination,3,2,25,8,full_n_by_n_with_diagonal,0.2387915504367771
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,2,arithmetic_recombination,arithmetic recombination,4,3,25,8,full_n_by_n_with_diagonal,0.24477815320856325
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,2,arithmetic_recombination,arithmetic recombination,5,4,25,8,full_n_by_n_with_diagonal,0.23833502084041655
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,2,arithmetic_recombination,arithmetic recombination,6,5,25,8,full_n_by_n_with_diagonal,0.2207067136688838
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,2,arithmetic_recombination,arithmetic recombination,7,6,25,8,full_n_by_n_with_diagonal,0.1824926033928992
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,2,arithmetic_recombination,arithmetic recombination,8,7,25,8,full_n_by_n_with_diagonal,0.11680497787207912
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,2,arithmetic_recombination,arithmetic recombination,9,8,25,8,full_n_by_n_with_diagonal,0.08059897610375728
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,2,arithmetic_recombination,arithmetic recombination,10,9,25,8,full_n_by_n_with_diagonal,0.056036729993972884
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,2,arithmetic_recombination,arithmetic recombination,11,10,25,8,full_n_by_n_with_diagonal,0.06455020607330854
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,2,arithmetic_recombination,arithmetic recombination,12,11,25,8,full_n_by_n_with_diagonal,0.0599434438144382
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,2,arithmetic_recombination,arithmetic recombination,13,12,25,8,full_n_by_n_with_diagonal,0.0
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,2,arithmetic_recombination,arithmetic recombination,14,13,25,8,full_n_by_n_with_diagonal,0.0
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,2,arithmetic_recombination,arithmetic recombination,15,14,25,8,full_n_by_n_with_diagonal,0.0
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,2,arithmetic_recombination,arithmetic recombination,16,15,25,8,full_n_by_n_with_diagonal,0.0
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,2,arithmetic_recombination,arithmetic recombination,17,16,25,8,full_n_by_n_with_diagonal,0.0
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,2,arithmetic_recombination,arithmetic recombination,18,17,25,8,full_n_by_n_with_diagonal,0.0
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,2,arithmetic_recombination,arithmetic recombination,19,18,25,8,full_n_by_n_with_diagonal,0.0
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,2,arithmetic_recombination,arithmetic recombination,20,19,25,8,full_n_by_n_with_diagonal,0.0
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,2,arithmetic_recombination,arithmetic recombination,21,20,25,8,full_n_by_n_with_diagonal,0.0
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,2,arithmetic_recombination,arithmetic recombination,22,21,25,8,full_n_by_n_with_diagonal,0.020673225596851773
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,2,arithmetic_recombination,arithmetic recombination,23,22,25,8,full_n_by_n_with_diagonal,0.02067322559685177
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,2,arithmetic_recombination,arithmetic recombination,24,23,25,8,full_n_by_n_with_diagonal,0.010786030746183534
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,2,arithmetic_recombination,arithmetic recombination,25,24,25,8,full_n_by_n_with_diagonal,0.010786030746183534
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,2,arithmetic_recombination,arithmetic recombination,26,25,25,8,full_n_by_n_with_diagonal,0.017946223736579763
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,2,arithmetic_recombination,arithmetic recombination,27,26,25,8,full_n_by_n_with_diagonal,0.0
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,2,arithmetic_recombination,arithmetic recombination,28,27,25,8,full_n_by_n_with_diagonal,0.0
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,2,arithmetic_recombination,arithmetic recombination,29,28,25,8,full_n_by_n_with_diagonal,0.013710275770429695
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,2,arithmetic_recombination,arithmetic recombination,30,29,25,8,full_n_by_n_with_diagonal,0.013710275770429695
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,2,arithmetic_recombination,arithmetic recombination,31,30,25,8,full_n_by_n_with_diagonal,0.0
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,2,arithmetic_recombination,arithmetic recombination,32,31,25,8,full_n_by_n_with_diagonal,0.0
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,2,arithmetic_recombination,arithmetic recombination,33,32,25,8,full_n_by_n_with_diagonal,0.0
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,2,arithmetic_recombination,arithmetic recombination,34,33,25,8,full_n_by_n_with_diagonal,0.015892182779322125
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,2,arithmetic_recombination,arithmetic recombination,35,34,25,8,full_n_by_n_with_diagonal,0.030460016993700743
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,2,arithmetic_recombination,arithmetic recombination,36,35,25,8,full_n_by_n_with_diagonal,0.07548786820178009
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,2,arithmetic_recombination,arithmetic recombination,37,36,25,8,full_n_by_n_with_diagonal,0.09535309667593275
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,2,arithmetic_recombination,arithmetic recombination,38,37,25,8,full_n_by_n_with_diagonal,0.09005570241615872
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,2,arithmetic_recombination,arithmetic recombination,39,38,25,8,full_n_by_n_with_diagonal,0.015892182779322125
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,2,arithmetic_recombination,arithmetic recombination,40,39,25,8,full_n_by_n_with_diagonal,0.0
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,2,arithmetic_recombination,arithmetic recombination,41,40,25,8,full_n_by_n_with_diagonal,0.009146636998247274
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,2,arithmetic_recombination,arithmetic recombination,42,41,25,8,full_n_by_n_with_diagonal,0.01753105424664061
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,2,arithmetic_recombination,arithmetic recombination,43,42,25,8,full_n_by_n_with_diagonal,0.017531054246640608
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,2,arithmetic_recombination,arithmetic recombination,44,43,25,8,full_n_by_n_with_diagonal,0.01753105424664061
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,2,arithmetic_recombination,arithmetic recombination,45,44,25,8,full_n_by_n_with_diagonal,0.009146636998247274
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,2,arithmetic_recombination,arithmetic recombination,46,45,25,8,full_n_by_n_with_diagonal,0.0
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,2,arithmetic_recombination,arithmetic recombination,47,46,25,8,full_n_by_n_with_diagonal,0.0
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,2,arithmetic_recombination,arithmetic recombination,48,47,25,8,full_n_by_n_with_diagonal,0.0
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,2,arithmetic_recombination,arithmetic recombination,49,48,25,8,full_n_by_n_with_diagonal,0.0
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,2,arithmetic_recombination,arithmetic recombination,50,49,25,8,full_n_by_n_with_diagonal,0.0
