metric,response_column,crossover_type,crossover_label,n_runs,mean,std,median,q25,q75,iqr,min,max,ci95_low,ci95_high
elite_lineage_parent_child_distance,slope_per_generation,arithmetic_recombination,arithmetic recombination,10,-0.009503617246319675,0.005223759455438479,-0.01046240263479813,-0.012183665280894419,-0.007552140509052162,0.0046315247718422565,-0.018308947002755517,0.0,-0.01324046964780264,-0.005766764844836712
elite_lineage_parent_child_distance,slope_per_generation,homologous_gene_block_recombination,homologous recombination,10,-0.010771366065278282,0.005818380870848825,-0.009316712699730785,-0.014906041585370195,-0.006379347992058646,0.00852669359331155,-0.020898764019989684,-0.0025515718522229375,-0.01493358500270233,-0.006609147127854234
elite_lineage_parent_child_distance,slope_per_generation,promoter_aligned_cut_and_splice,cut and splice,10,-0.02109378808417634,0.03288788711927133,-0.013372673377008948,-0.018148100824515873,-0.00687559966574954,0.011272501158766332,-0.1124589378546483,8.620816395311356e-05,-0.04462036525713574,0.0024327890887830515
