experiment,crossover_type,run,parent_slot,pair_count,child_count,run_count,morph_distance_mean,morph_distance_median,morph_distance_std,morph_distance_q25,morph_distance_q75,shape_distance_mean,shape_distance_median,shape_distance_std,shape_distance_q25,shape_distance_q75,occupied_union_material_distance_mean,occupied_union_material_distance_median,occupied_union_material_distance_std,occupied_union_material_distance_q25,occupied_union_material_distance_q75,material_substitution_distance_mean,material_substitution_distance_median,material_substitution_distance_std,material_substitution_distance_q25,material_substitution_distance_q75,trait_profile_distance_mean,trait_profile_distance_median,trait_profile_distance_std,trait_profile_distance_q25,trait_profile_distance_q75,parent_pair_morph_distance_mean,parent_pair_morph_distance_median,parent_pair_morph_distance_std,parent_pair_morph_distance_q25,parent_pair_morph_distance_q75,child_fitness_mean,child_fitness_median,child_fitness_std,child_fitness_q25,child_fitness_q75,fitness_delta_mean,fitness_delta_median,fitness_delta_std,fitness_delta_q25,fitness_delta_q75,morph_distance_min,morph_distance_max,morph_distance_raw_mean,shape_distance_raw_mean,occupied_union_material_distance_raw_mean,material_substitution_distance_raw_mean,size_norm_abs_diff_mean,symmetry_abs_diff_mean,proportion_abs_diff_mean,coverage_abs_diff_mean,relative_joints_abs_diff_mean,relative_limbs_abs_diff_mean,muscle_prop_abs_diff_mean
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,arithmetic_recombination,1,closest_parent,1216,1216,1,0.06930760970170506,0.0,0.11291739735143297,0.0,0.1458528419959549,0.07188870614035087,0.0,0.13080112310062578,0.0,0.1111111111111111,0.23782187669526444,0.0,0.363631454465371,0.0,0.6666666666666666,0.08199679469996807,0.0,0.18791367132064457,0.0,0.0,0.0950248622033453,0.0,0.15200881945812594,0.0,0.22478632478632476,0.06183886058134713,0.0,0.10610616234703794,0.0,0.13999250412855005,26.851430503092153,24.74469150601525,23.37437569248084,1.6311372210815234,51.88597779495121,-11.242767524000334,-6.579048326832179,14.888223722566154,-12.545525050732945,-2.4685112952626014,0.0,0.4786103636973559,0.16976827906114644,2.5879934210526314,3.020559210526316,0.43256578947368424,0.10209676009632428,0.05456299011965211,0.05814144736842104,0.04451160453216373,0.06991998424724115,0.07260948344418738,0.06991998424724115
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,arithmetic_recombination,1,parent1,1216,1216,1,0.08017071658029008,0.0,0.12846879129890657,0.0,0.18430223560651304,0.07504111842105263,0.0,0.13316189001568843,0.0,0.1388888888888889,0.24370470544728318,0.0,0.36887308638410765,0.0,0.7,0.07681259430606373,0.0,0.18383039547346908,0.0,0.0,0.10329050412288977,0.0,0.16254681626335243,0.0,0.24993894993894994,0.06183886058134713,0.0,0.10610616234703794,0.0,0.13999250412855005,26.851430503092153,24.74469150601525,23.37437569248084,1.6311372210815234,51.88597779495121,-11.356737694924638,-6.7485825438471805,14.87645949729185,-12.839197661032367,-2.555194034221593,0.0,0.4856373352607653,0.1963773479349978,2.7014802631578947,3.0896381578947367,0.3881578947368421,0.10882816126732382,0.07097648294599913,0.06907894736842106,0.05039153874269005,0.07654668178066823,0.08423098511503117,0.07654668178066823
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,arithmetic_recombination,1,parent2,1216,1216,1,0.08191333438245534,0.0,0.12944272338600288,0.0,0.1834829402492959,0.0800438596491228,0.0,0.13959739646237396,0.0,0.1388888888888889,0.2538346058280671,0.0,0.37682136022163426,0.0,0.7142857142857143,0.08768617621413674,0.0,0.19585764239021136,0.0,0.0,0.10680792003033944,0.0,0.16638106131276825,0.0,0.25512820512820505,0.06183886058134713,0.0,0.10610616234703794,0.0,0.13999250412855005,26.851430503092153,24.74469150601525,23.37437569248084,1.6311372210815234,51.88597779495121,-11.10465021194921,-6.550394269945015,14.87399034344202,-11.736704256053198,-2.404342230588405,0.0,0.5754863322099932,0.20064587236699297,2.8815789473684212,3.307565789473684,0.42598684210526316,0.11365188902672033,0.07281378508169901,0.06816063596491227,0.05424570540935671,0.07649532969642561,0.08945302458871537,0.07649532969642561
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,arithmetic_recombination,2,closest_parent,1206,1206,1,0.0825984189377477,0.0,0.10624129086019996,0.0,0.15692983704817984,0.06797033351759718,0.0,0.10365786507791903,0.0,0.1111111111111111,0.2665241824750932,0.0,0.3170061650323336,0.0,0.5555555555555556,0.11198759090550135,0.0,0.18486233588105297,0.0,0.2,0.10880788754373216,0.0,0.1364082965277936,0.0,0.23071242029575356,0.047087032789244615,0.0,0.1004692212152302,0.0,0.0,11.296919051296465,10.451258552134092,7.958923856923311,3.52334549121284,18.876245439603572,-6.289039033754536,-3.6928799288034053,6.962042666716577,-10.380443937029348,-0.4804085527495513,0.0,0.4554570947119573,0.2023239799581208,2.446932006633499,3.2330016583747927,0.7860696517412935,0.1302757140132762,0.08965105628662842,0.0784964068546158,0.05044154228855719,0.052314224609000703,0.08702418941846801,0.052314224609000703
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,arithmetic_recombination,2,parent1,1206,1206,1,0.09325270938648104,0.0,0.11543947735369746,0.0,0.177791026789075,0.0708724894048277,0.0,0.10299596299814603,0.0,0.1388888888888889,0.2797320447530579,0.0,0.32032088737422687,0.0,0.5714285714285714,0.12248129841413423,0.0,0.19557575549068962,0.0,0.2222222222222222,0.11815617909800535,0.0,0.14281057326521787,0.0,0.24291095300710683,0.047087032789244615,0.0,0.1004692212152302,0.0,0.0,11.296919051296465,10.451258552134092,7.958923856923311,3.52334549121284,18.876245439603572,-6.302137585794707,-3.7262572864528263,6.958846128429637,-10.380443937029348,-0.4804395397376068,0.0,0.5294544581575761,0.22842155512892592,2.5514096185737976,3.4046434494195688,0.8532338308457711,0.13696165061214813,0.10513047736306443,0.0884604754007739,0.05825686382900312,0.0613284368570438,0.09621411042430941,0.0613284368570438
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,arithmetic_recombination,2,parent2,1206,1206,1,0.09543619128874838,0.0,0.11785434674022267,0.0,0.177791026789075,0.07232356734844295,0.0,0.10470935029137585,0.0,0.1388888888888889,0.2828476270555692,0.0,0.32290849409503564,0.0,0.5833333333333334,0.12286391515247237,0.0,0.19607074224018303,0.0,0.2222222222222222,0.12038864728963025,0.0,0.14462675019967539,0.0,0.246175468050468,0.047087032789244615,0.0,0.1004692212152302,0.0,0.0,11.296919051296465,10.451258552134092,7.958923856923311,3.52334549121284,18.876245439603572,-6.174261287800562,-3.881411838683074,7.007684710077771,-10.27595862308201,-0.3442632040580626,0.0,0.4930066485916347,0.23376997165208244,2.603648424543947,3.4676616915422884,0.8640132669983416,0.1392516422678114,0.1039658965964936,0.08948313985627418,0.058283121429887584,0.06466081941828208,0.10104831482319043,0.06466081941828208
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,arithmetic_recombination,3,closest_parent,1084,1084,1,0.13591179399228268,0.1477292268667644,0.10647789816962064,0.0,0.20417128846777374,0.19580258302583026,0.1944444444444444,0.16454421215525777,0.0,0.3333333333333333,0.527440371672127,0.6470588235294118,0.3372368187601164,0.21929824561403505,0.8181818181818182,0.26284955361861356,0.22649572649572647,0.24522632965763871,0.0,0.475,0.21272728531295593,0.249880247957171,0.15266584180768064,0.0,0.3279393009150094,0.12019854772070539,0.1136861477333318,0.11801846129860943,0.0,0.1925460726420124,17.52188907087204,3.2073630338843526,23.020679622652448,0.7476486746993818,35.2136265888878,-22.050705423394568,-15.565889381092699,22.206125740470128,-44.00943384972464,-2.1725722666741145,0.0,0.4974213340208628,0.33291454530735676,7.0488929889298895,9.115313653136532,2.066420664206642,0.2543122927791856,0.0925612679554671,0.12678351783517833,0.0878561910619106,0.1295328927817701,0.11703716458805252,0.1295328927817701
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,arithmetic_recombination,3,parent1,1084,1084,1,0.16434697542942184,0.16974319837208718,0.11656810025043922,0.08887285717169299,0.22818389431806418,0.2176353013530135,0.2222222222222222,0.16275878835945112,0.07638888888888885,0.3333333333333333,0.570542671475056,0.6666666666666666,0.31963438491791685,0.35609243697478987,0.8333333333333334,0.27915250773833394,0.25,0.24393656738761735,0.0,0.5,0.24392313358674875,0.27596662596662597,0.1551932869424007,0.1252156047077922,0.34985959721789683,0.12019854772070539,0.1136861477333318,0.11801846129860943,0.0,0.1925460726420124,17.52188907087204,3.2073630338843526,23.020679622652448,0.7476486746993818,35.2136265888878,-22.170257626384743,-14.656722815729317,22.490884241672596,-46.22926242601724,-2.412794129314083,0.0,0.5857389113938407,0.40256623057180774,7.834870848708487,9.976014760147601,2.1411439114391144,0.2952989271375325,0.11280513783080949,0.16285362853628535,0.10351681016810166,0.1552495567883716,0.1437428069878831,0.1552495567883716
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,arithmetic_recombination,3,parent2,1084,1084,1,0.16362162672888406,0.1683590692005565,0.12212363480841275,0.07440497472705443,0.23303499615754628,0.2181221812218122,0.2222222222222222,0.16801589264368916,0.0277777777777777,0.3333333333333333,0.5641386817658351,0.6666666666666666,0.32900635955988294,0.29642857142857143,0.8333333333333334,0.28208591241155384,0.25,0.24786568808125747,0.0,0.5,0.24037592961850715,0.27479409936129695,0.16102435889569372,0.0861149267399267,0.3525972985347985,0.12019854772070539,0.1136861477333318,0.11801846129860943,0.0,0.1925460726420124,17.52188907087204,3.2073630338843526,23.020679622652448,0.7476486746993818,35.2136265888878,-22.029683311604096,-14.645744113805112,22.329633902487966,-45.68518438192147,-2.3891226105079943,0.0,0.6001616297180804,0.4007894963698994,7.85239852398524,10.03690036900369,2.1845018450184504,0.29666849743252327,0.11211976239758896,0.15581180811808115,0.1020182451824518,0.15412987625389674,0.14653162589755073,0.15412987625389674
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,arithmetic_recombination,4,closest_parent,1164,1164,1,0.15344706046113174,0.1379598557939939,0.13870379286168485,0.0,0.27419377017813473,0.07989690721649483,0.0555555555555555,0.09192023532886316,0.0,0.1388888888888889,0.4111293289328821,0.5,0.33883542868017874,0.0,0.7142857142857143,0.21290637579297375,0.0,0.2540454494815992,0.0,0.4285714285714285,0.2146966216570893,0.22122797837083552,0.1850247248878804,0.0,0.36165703954165485,0.10429729181778677,0.0,0.13785369739641842,0.0,0.226766178468128,10.88788800902588,5.098940871020432,10.369424837793142,2.0445934130781156,23.01765251951553,-11.003694158947505,-7.878155970367094,10.48722281580493,-19.2035843142165,-2.0299734067096606,0.0,0.4500114310390834,0.37586700065977235,2.8762886597938144,3.9699312714776633,1.0936426116838487,0.191239750201621,0.10417687589458358,0.1304410080183276,0.133940673921344,0.1597096557565023,0.18130147820869472,0.1597096557565023
