crossover_type,child_generation,parent_slot,pair_count,child_count,run_count,morph_distance_mean,morph_distance_median,morph_distance_std,morph_distance_q25,morph_distance_q75,shape_distance_mean,shape_distance_median,shape_distance_std,shape_distance_q25,shape_distance_q75,occupied_union_material_distance_mean,occupied_union_material_distance_median,occupied_union_material_distance_std,occupied_union_material_distance_q25,occupied_union_material_distance_q75,material_substitution_distance_mean,material_substitution_distance_median,material_substitution_distance_std,material_substitution_distance_q25,material_substitution_distance_q75,trait_profile_distance_mean,trait_profile_distance_median,trait_profile_distance_std,trait_profile_distance_q25,trait_profile_distance_q75,parent_pair_morph_distance_mean,parent_pair_morph_distance_median,parent_pair_morph_distance_std,parent_pair_morph_distance_q25,parent_pair_morph_distance_q75,child_fitness_mean,child_fitness_median,child_fitness_std,child_fitness_q25,child_fitness_q75,fitness_delta_mean,fitness_delta_median,fitness_delta_std,fitness_delta_q25,fitness_delta_q75,morph_distance_min,morph_distance_max,morph_distance_raw_mean,shape_distance_raw_mean,occupied_union_material_distance_raw_mean,material_substitution_distance_raw_mean,size_norm_abs_diff_mean,symmetry_abs_diff_mean,proportion_abs_diff_mean,coverage_abs_diff_mean,relative_joints_abs_diff_mean,relative_limbs_abs_diff_mean,muscle_prop_abs_diff_mean
arithmetic_recombination,2,closest_parent,224,25,10,0.20834482454547337,0.19726916908285136,0.10957969808132416,0.1464046228312442,0.25845243538271656,0.26450892857142855,0.25,0.1599796105135557,0.1666666666666666,0.3611111111111111,0.7520890372398111,0.8333333333333334,0.23853562808229853,0.7272727272727273,0.8951905626134301,0.301345405586477,0.3333333333333333,0.26987123056059814,0.0,0.5,0.30561207592110273,0.3163720609874456,0.12616092685545646,0.240460927960928,0.39835858585858586,0.2812701564549832,0.26597625307266726,0.11760953961772436,0.1800800005118895,0.37257559929486395,2.134091834725717,1.453945187331571,2.1146135970412083,0.7078774095695743,2.9962083841193166,-2.554807378575607,-1.7430168072638292,4.131010391982674,-3.829400232700035,-0.35147835705185204,0.0,0.5294117882168,0.5103385106860979,9.522321428571429,11.160714285714286,1.6383928571428572,0.33758065799113457,0.14379194211309362,0.1935267857142857,0.13702752976190474,0.18981896901040235,0.23775350029289102,0.18981896901040235
arithmetic_recombination,2,parent1,224,25,10,0.2732424860842538,0.2497071685617926,0.1292941632126477,0.1837724684575294,0.3711652350197185,0.2867063492063492,0.2777777777777778,0.1507218396261379,0.1666666666666666,0.3888888888888889,0.796817115015508,0.8651515151515152,0.20104575232316885,0.7718531468531469,0.9090909090909092,0.29694086915069057,0.3333333333333333,0.27464532776937695,0.0,0.5,0.3647210982893913,0.3827246827246827,0.1336992285621063,0.29775946275946275,0.4507581360946745,0.2812701564549832,0.26597625307266726,0.11760953961772436,0.1800800005118895,0.37257559929486395,2.134091834725717,1.453945187331571,2.1146135970412083,0.7078774095695743,2.9962083841193166,-3.1729400361491633,-2.3709279048071683,4.833636859209578,-5.020739794901511,-0.4465078153224288,0.0,0.5648554562035817,0.6693046669559548,10.321428571428571,11.785714285714286,1.4642857142857142,0.42269134535051583,0.18292161944869476,0.2581845238095238,0.17553819444444443,0.2647331676827556,0.33185655381033535,0.2647331676827556
arithmetic_recombination,2,parent2,224,25,10,0.2786697878130334,0.2579331121583469,0.1279368394468857,0.18815843177672112,0.37327141509459894,0.30493551587301587,0.2777777777777778,0.16308241250006533,0.1944444444444444,0.4166666666666667,0.814176466724305,0.8571428571428571,0.17625596908691837,0.7857142857142857,0.9175,0.35655406101834675,0.4,0.2695834655439469,0.0,0.5,0.3681867587643168,0.37585331335331335,0.12481100299909574,0.29871031746031745,0.44946064964447313,0.2812701564549832,0.26597625307266726,0.11760953961772436,0.1800800005118895,0.37257559929486395,2.134091834725717,1.453945187331571,2.1146135970412083,0.7078774095695743,2.9962083841193166,-2.31162322074493,-1.7513448551012143,4.249743890987009,-3.6204082558095476,-0.25493223673814513,0.0,0.5653488671287722,0.6825987868715899,10.977678571428571,12.772321428571429,1.7946428571428572,0.4236499494997908,0.1745647994057776,0.24293154761904762,0.17748635912698413,0.2533230423326217,0.3555409225093546,0.2533230423326217
arithmetic_recombination,3,closest_parent,224,25,10,0.19891302584580645,0.19035739097562904,0.10642083052144156,0.13140228669390192,0.2569131384118306,0.23214285714285715,0.2222222222222222,0.1457557022615189,0.1388888888888889,0.3333333333333333,0.7250330930025205,0.8,0.24741722412852557,0.6666666666666666,0.8888888888888888,0.33233870252646514,0.3333333333333333,0.27153988417220765,0.0,0.5,0.2971143748053963,0.30650075414781297,0.1299503935970579,0.22547844992697927,0.38743580765639585,0.2724352117785815,0.2679007900946418,0.11039695359866634,0.1915078981355362,0.35302481018561066,2.6126837929570206,1.8035401842601475,3.204559443869873,0.7693924407184242,3.3272667065890387,-2.820592387045575,-2.8500931232047737,3.965286149983206,-4.730066930609173,-0.9132858014328041,0.0,0.4799987535136478,0.4872354165152681,8.357142857142858,10.160714285714286,1.8035714285714286,0.32390879268357337,0.1365742618100805,0.18660714285714283,0.12507440476190473,0.1792418045773621,0.21756202007318076,0.1792418045773621
arithmetic_recombination,3,parent1,224,25,10,0.25211648386310065,0.24654633360826844,0.12482377000738447,0.15817318383523998,0.35419584457408415,0.24714781746031744,0.25,0.13815079663932292,0.1388888888888889,0.3333333333333333,0.7550636939987229,0.8255578093306288,0.22438902792547985,0.7272727272727273,0.9,0.32990171738858715,0.3333333333333333,0.27063498374569234,0.0,0.5,0.3378235156644655,0.3487579372194757,0.13159417946289215,0.27239774114774107,0.4237764817091739,0.2724352117785815,0.2679007900946418,0.11039695359866634,0.1915078981355362,0.35302481018561066,2.6126837929570206,1.8035401842601475,3.204559443869873,0.7693924407184242,3.3272667065890387,-3.3462888554123897,-3.2384024850809077,4.344921684543933,-5.341463813085019,-1.1461067022559517,0.0,0.5294544581575761,0.6175567412092258,8.897321428571429,10.575892857142858,1.6785714285714286,0.3812328888049955,0.18469782807237647,0.22983630952380954,0.16824776785714282,0.22752840082691392,0.2991895704154867,0.22752840082691392
arithmetic_recombination,3,parent2,224,25,10,0.26333291087666016,0.24800877663300513,0.12564332379942417,0.17223957080883828,0.35242492052668667,0.27393353174603174,0.25,0.14370026626813823,0.1666666666666666,0.3611111111111111,0.7936411256940261,0.8571428571428571,0.19515056866079072,0.7610294117647058,0.9090909090909092,0.35682016396302113,0.3333333333333333,0.27495052939181247,0.0,0.5785714285714285,0.3611544724982,0.3681970273316427,0.13235664528282765,0.2807913614163614,0.4469488844488845,0.2724352117785815,0.2679007900946418,0.11039695359866634,0.1915078981355362,0.35302481018561066,2.6126837929570206,1.8035401842601475,3.204559443869873,0.7693924407184242,3.3272667065890387,-3.1535627156828276,-2.993792310729051,4.689026087596848,-5.060427271407937,-1.0596012362209326,0.0,0.5754863322099932,0.6450312641296158,9.861607142857142,11.642857142857142,1.78125,0.42023303075664237,0.18623625116259102,0.2435267857142857,0.17505704365079364,0.24103241710894,0.3177496926762669,0.24103241710894
arithmetic_recombination,4,closest_parent,223,25,10,0.19417594758521164,0.1902133703746066,0.10743884807406344,0.1247956509811732,0.2552662121351902,0.24539113104135526,0.2222222222222222,0.15734236285051703,0.1388888888888889,0.3333333333333333,0.7210953497957254,0.8235294117647058,0.2669828277843149,0.6666666666666666,0.8888888888888888,0.33668572334491614,0.3571428571428571,0.2665871036245185,0.0,0.5,0.2876044834160727,0.2954822954822954,0.13367628306481463,0.2193681318681318,0.3748672161172161,0.24287273213887622,0.2301989935818368,0.1203907418914877,0.15274400170298086,0.31644647308472784,2.7786719478320316,1.6716627502655172,3.9946237881563302,0.693856814118655,3.4300108605115502,-4.072982466227505,-3.503654185878321,5.612675411033736,-5.644102639293587,-1.56812404603763,0.0,0.5012843586533025,0.4756319919051799,8.834080717488789,10.748878923766815,1.9147982062780269,0.3000661650342485,0.12764675104066328,0.2108370702541106,0.12913926258096659,0.1731423987880581,0.1974702047749015,0.1731423987880581
arithmetic_recombination,4,parent1,223,25,10,0.24998074202557144,0.2405310408085277,0.12712596620245362,0.16817119545512377,0.3323978458021668,0.2495017438963627,0.25,0.14632472022845125,0.1666666666666666,0.3333333333333333,0.756943594560983,0.8421052631578947,0.23238411373596551,0.7247474747474747,0.8973684210526316,0.34902872414083175,0.3333333333333333,0.26698650522675793,0.0,0.5,0.32555452850698463,0.3301659125188537,0.13408424638687746,0.24780497280497274,0.42525183150183143,0.24287273213887622,0.2301989935818368,0.1203907418914877,0.15274400170298086,0.31644647308472784,2.7786719478320316,1.6716627502655172,3.9946237881563302,0.693856814118655,3.4300108605115502,-4.725316393418416,-3.8994002119009754,5.725908765772177,-6.15686482123418,-1.6622540599874283,0.0,0.5538631629673354,0.612325263484965,8.98206278026906,10.798206278026905,1.8161434977578474,0.35014239879753895,0.17747438125535983,0.2523916292974589,0.17270179372197308,0.2137492585043043,0.2964681307730635,0.2137492585043043
arithmetic_recombination,4,parent2,223,25,10,0.24377604800060387,0.2285419535300498,0.1296675678804871,0.16529666255325895,0.3332519961613177,0.2610861983059292,0.25,0.1558466720001329,0.1666666666666666,0.3333333333333333,0.7431927456564741,0.8333333333333334,0.25201206038316765,0.7222222222222222,0.9023809523809524,0.3283626624994338,0.3333333333333333,0.2736135414515994,0.0,0.5,0.3301965871649689,0.347171034094111,0.1391393744655631,0.253331465543004,0.4230112942612942,0.24287273213887622,0.2301989935818368,0.1203907418914877,0.15274400170298086,0.31644647308472784,2.7786719478320316,1.6716627502655172,3.9946237881563302,0.693856814118655,3.4300108605115502,-4.523112636548251,-3.759780813309209,5.925561974409106,-6.283960738806729,-1.6630465348111085,0.0,0.6457368706986164,0.5971269291136989,9.399103139013453,11.295964125560538,1.8968609865470851,0.3448162109015678,0.1700791291848577,0.2599402092675635,0.16010837070254108,0.21524157108967903,0.26324956872514105,0.21524157108967903
arithmetic_recombination,5,closest_parent,214,25,10,0.1830066951148367,0.1841578541131494,0.11610236458378995,0.10909899656820818,0.24833006703663815,0.19639148494288677,0.1944444444444444,0.14917696348610876,0.0833333333333333,0.3055555555555556,0.6549398870230109,0.7857142857142857,0.30241757748576253,0.5388888888888889,0.8823529411764706,0.2722762996883393,0.25,0.27538522023432893,0.0,0.5,0.2634669713368879,0.285868361848754,0.13662321824648954,0.18389249639249633,0.36655982905982903,0.24578825454987116,0.23001392435332263,0.12379996666744203,0.15057058963498968,0.33376344000031655,3.2947451974041395,2.0350242728993857,4.811181399404679,1.0863709726727497,3.7847201432940234,-6.23804701448127,-4.40442898180007,7.947127727817089,-7.50286289762594,-2.242372987965504,0.0,0.5462360373562878,0.4482730225444408,7.070093457943925,8.630841121495328,1.560747663551402,0.3097590270805745,0.138708916305123,0.17507788161993768,0.12022455867082033,0.14177905393780946,0.21439521476629778,0.14177905393780946
