experiment,run,generation,genome_size_mean,genome_size_std,genome_size_max,displacement_mean,displacement_std,displacement_max,num_voxels_mean,num_voxels_std,num_voxels_max,bone_count_mean,bone_count_std,bone_count_max,bone_prop_mean,bone_prop_std,bone_prop_max,fat_count_mean,fat_count_std,fat_count_max,fat_prop_mean,fat_prop_std,fat_prop_max,fat2_count_mean,fat2_count_std,fat2_count_max,fat2_prop_mean,fat2_prop_std,fat2_prop_max,phase_muscle_count_mean,phase_muscle_count_std,phase_muscle_count_max,phase_muscle_prop_mean,phase_muscle_prop_std,phase_muscle_prop_max,offphase_muscle_count_mean,offphase_muscle_count_std,offphase_muscle_count_max,offphase_muscle_prop_mean,offphase_muscle_prop_std,offphase_muscle_prop_max,size_mean,size_std,size_max,symmetry_mean,symmetry_std,symmetry_max,number_of_limbs_mean,number_of_limbs_std,number_of_limbs_max,total_voxel_volume_mean,total_voxel_volume_std,total_voxel_volume_max,bounding_box_area_mean,bounding_box_area_std,bounding_box_area_max,morphological_density_mean,morphological_density_std,morphological_density_max,muscle_to_tissue_ratio_mean,muscle_to_tissue_ratio_std,muscle_to_tissue_ratio_max,actuation_energy_cost_mean,actuation_energy_cost_std,actuation_energy_cost_max,environmental_contact_area_mean,environmental_contact_area_std,environmental_contact_area_max,uniqueness_mean,uniqueness_std,uniqueness_max,fitness_mean,fitness_std,fitness_max,age_mean,age_std,age_max,dominated_disp_nov_mean,dominated_disp_nov_std,dominated_disp_nov_max,novelty_mean,novelty_std,novelty_max,novelty_weighted_mean,novelty_weighted_std,novelty_weighted_max
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,1,1,302.0,0.0,302.0,2.7226617745256387,2.8804622421921016,10.219270239695316,9.4,4.069397989875161,17.0,2.04,2.599692289483507,9.0,0.1944,0.24275221935133776,0.75,2.04,2.806848766855813,11.0,0.19640000000000002,0.24329208782860162,0.75,0.0,0.0,0.0,0.0,0.0,0.0,3.28,2.2184679398179274,8.0,0.3504,0.1863218720386847,0.6,2.04,1.1128342194594845,4.0,0.258,0.14985326155943351,0.5,9.4,4.069397989875161,17.0,0.688,0.19231166833496552,1.0,1.44,0.9414881836751855,3.0,9.4,4.069397989875161,17.0,13.8,6.734983296193095,30.0,0.7328333333333333,0.17553616278261422,1.0,2.0687142857142855,2.710286219997045,10.0,5.32,2.921917178839948,12.0,2.16,1.0836973747315253,4.0,0.0,0.0,0.0,2.7226617745256387,2.8804622421921016,10.219270239695316,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7226617745256387,2.8804622421921016,10.219270239695316
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,1,2,301.84,0.36660605559646714,302.0,3.6546699799060134,2.1995737975711656,10.219270239695316,10.6,5.571355310873647,24.0,1.72,2.538030732674449,9.0,0.134,0.17424121211699603,0.69,2.12,2.8045677028732965,11.0,0.18,0.19907787421006884,0.69,0.0,0.0,0.0,0.0,0.0,0.0,4.52,2.685069831494146,10.0,0.4296,0.1335808369490175,0.62,2.24,1.2092973166264778,6.0,0.2544,0.13520591703028384,0.5,10.6,5.571355310873647,24.0,0.6666666666666665,0.17619433715203348,1.0,1.2,0.8944271909999159,3.0,10.6,5.571355310873647,24.0,14.44,7.515743476197148,30.0,0.7549333333333333,0.1430178543632461,1.0,2.5660333000333004,2.9181211965916822,10.0,6.76,3.5808378907736107,16.0,2.28,1.312097557348538,6.0,0.0,0.0,0.0,3.6546699799060134,2.1995737975711656,10.219270239695316,1.52,0.4995998398718719,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6546699799060134,2.1995737975711656,10.219270239695316
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,1,3,301.8,0.4898979485566356,303.0,4.556424044657046,1.9260266904320673,10.219270239695316,10.32,5.6265086865657645,24.0,1.2,2.078460969082653,7.0,0.0876,0.1253883567162438,0.41,2.36,2.3130931671681534,9.0,0.2228,0.1974744540440611,0.6,0.0,0.0,0.0,0.0,0.0,0.0,4.72,3.000266654815868,12.0,0.4464,0.13269152195976955,0.8,2.04,0.9156418513807678,4.0,0.242,0.12740486646906388,0.5,10.32,5.6265086865657645,24.0,0.624,0.152612799812685,1.0,1.64,0.8890444308357148,3.0,10.32,5.6265086865657645,24.0,14.28,7.437849151468453,30.0,0.74,0.1363614477938851,1.0,2.156073704073704,2.3373572042162367,10.0,6.76,3.5808378907736103,15.0,2.68,1.3181805642627265,6.0,0.0,0.0,0.0,4.556424044657046,1.9260266904320673,10.219270239695316,2.04,0.8708616422830897,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.556424044657046,1.9260266904320673,10.219270239695316
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,1,4,301.8,0.4898979485566356,303.0,5.35711594027003,1.978607597995944,10.219270239695316,11.76,5.558992714512225,24.0,1.32,2.1488601629701267,7.0,0.08120000000000001,0.11663001328989035,0.41,2.64,2.590443977390748,9.0,0.2084,0.1668455573277275,0.5,0.0,0.0,0.0,0.0,0.0,0.0,5.56,2.417933001553186,10.0,0.4876,0.1138869615013062,0.71,2.24,1.0307278981380101,6.0,0.2224,0.10696840655071944,0.5,11.76,5.558992714512225,24.0,0.6146666666666667,0.13665203173673554,1.0,1.4,0.848528137423857,3.0,11.76,5.558992714512225,24.0,16.2,7.424284477308234,30.0,0.7387777777777778,0.12837416377887695,1.0,2.3681762681762684,2.3672609787731145,10.0,7.8,3.1368774282716245,16.0,2.88,1.4510685717773644,6.0,0.0,0.0,0.0,5.35711594027003,1.978607597995944,10.219270239695316,2.48,1.2039933554633928,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5.35711594027003,1.978607597995944,10.219270239695316
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,1,5,301.84,0.5425863986500215,303.0,5.940329776924362,2.0372144541533306,10.219270239695316,12.16,5.281514934183185,24.0,1.24,2.121885953579975,7.0,0.0712,0.11122301920016377,0.41,2.28,2.600307674103201,9.0,0.1728,0.1649368363950273,0.5,0.0,0.0,0.0,0.0,0.0,0.0,6.16,2.274730753298069,10.0,0.5228,0.11169673227091292,0.71,2.48,1.0244998779892558,6.0,0.23240000000000002,0.10128296994065686,0.5,12.16,5.281514934183185,24.0,0.6193333333333333,0.14334728614258607,1.0,1.36,0.8890444308357148,3.0,12.16,5.281514934183185,24.0,16.92,7.0023995887124295,30.0,0.7297777777777777,0.1318868763302405,1.0,2.735954045954046,2.7931869178754334,10.0,8.64,2.951338679311475,16.0,2.88,1.3948476619330157,6.0,0.0,0.0,0.0,5.940329776924362,2.0372144541533306,10.219270239695316,2.96,1.3994284547628721,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.940329776924362,2.0372144541533306,10.219270239695316
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,1,6,301.8,0.4898979485566356,303.0,6.538461205297771,2.595763411057583,14.856928391732783,11.72,5.6179711640413394,24.0,1.24,2.121885953579975,7.0,0.0712,0.11122301920016378,0.41,2.08,2.575577605120839,9.0,0.1616,0.16141078030912312,0.44,0.0,0.0,0.0,0.0,0.0,0.0,5.96,2.4079867109267856,10.0,0.5252,0.10381213801863441,0.71,2.44,1.061319932913728,6.0,0.2412,0.10580434773675418,0.5,11.72,5.6179711640413394,24.0,0.606,0.1534695047522109,1.0,1.36,0.8890444308357147,3.0,11.72,5.6179711640413394,24.0,16.2,7.326663633605681,30.0,0.7283333333333333,0.13263939790478246,1.0,2.575954045954046,2.8092344958895397,10.0,8.4,3.1496031496047245,16.0,2.88,1.3948476619330155,6.0,0.0,0.0,0.0,6.538461205297771,2.595763411057583,14.856928391732783,3.72,1.6129476122924762,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.538461205297771,2.595763411057583,14.856928391732783
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,1,7,301.8,0.4898979485566356,303.0,6.812510478608588,2.4791057434003845,14.856928391732783,10.88,5.187060824783145,23.0,0.92,1.787064632295094,7.0,0.055999999999999994,0.10303397497913006,0.41,2.2,2.5768197453450252,9.0,0.1932,0.18063709475077372,0.56,0.0,0.0,0.0,0.0,0.0,0.0,5.48,2.4838679514016038,10.0,0.5112,0.12027701359777769,0.71,2.28,1.04,6.0,0.23879999999999998,0.10061093379946337,0.5,10.88,5.187060824783145,23.0,0.5673333333333334,0.13025445183264264,0.8333333333333334,1.52,0.8059776671843953,3.0,10.88,5.187060824783145,23.0,15.72,7.241657268885349,30.0,0.6978888888888889,0.11894671490904792,0.9166666666666666,2.2206813186813186,2.378159879408349,10.0,7.76,3.240740656084655,16.0,2.72,1.3422369388450013,5.0,0.0,0.0,0.0,6.812510478608588,2.4791057434003845,14.856928391732783,4.28,1.8004443895883038,7.0,0.0,0.0,0.0,0.0,0.0,0.0,6.812510478608588,2.4791057434003845,14.856928391732783
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,1,8,301.84,0.463033476111609,303.0,7.516748917734462,2.108614119807601,14.856928391732783,9.0,3.7202150475476548,16.0,0.36,0.8428523002282191,3.0,0.0328,0.06925431394505327,0.21,1.52,1.676186147180557,5.0,0.16720000000000002,0.17732501233610562,0.56,0.0,0.0,0.0,0.0,0.0,0.0,4.84,2.3946607275353227,10.0,0.53,0.11630993078838969,0.71,2.28,1.0777754868245983,6.0,0.26880000000000004,0.09043539130229934,0.5,9.0,3.7202150475476548,16.0,0.5493333333333333,0.14371886136172632,0.8333333333333334,1.64,0.7939773296511683,3.0,9.0,3.7202150475476548,16.0,13.72,5.786328715169922,30.0,0.6644444444444444,0.11391192179015298,0.875,2.042,1.9437942277926437,6.0,7.12,3.2535519052260407,16.0,2.28,1.1838918869558994,5.0,0.0,0.0,0.0,7.516748917734462,2.108614119807601,14.856928391732783,4.28,2.324134247413432,8.0,0.0,0.0,0.0,0.0,0.0,0.0,7.516748917734462,2.108614119807601,14.856928391732783
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,1,9,301.88,0.4308131845707603,303.0,7.702883082531269,2.0409958945203557,14.856928391732783,8.96,3.7467852887508784,16.0,0.4,0.8485281374238571,3.0,0.039599999999999996,0.07389073013578902,0.21,1.48,1.699882348870062,5.0,0.1616,0.18028155757037378,0.56,0.0,0.0,0.0,0.0,0.0,0.0,4.8,2.4166091947189146,10.0,0.5272,0.11615575749828332,0.71,2.28,1.0777754868245983,6.0,0.27040000000000003,0.09114735322542283,0.5,8.96,3.7467852887508784,16.0,0.5426666666666666,0.1495979797843392,0.8333333333333334,1.68,0.78587530817554,3.0,8.96,3.7467852887508784,16.0,13.8,5.748043145279966,30.0,0.6564444444444445,0.11808063785835948,0.875,2.002,1.8708543502902624,6.0,7.08,3.2731636072766057,16.0,2.2,1.058300524425836,5.0,0.0,0.0,0.0,7.702883082531269,2.0409958945203557,14.856928391732783,5.08,2.464467488119898,9.0,0.0,0.0,0.0,0.0,0.0,0.0,7.702883082531269,2.0409958945203557,14.856928391732783
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,1,10,301.84,0.463033476111609,303.0,8.078637805264782,1.8440725619464897,14.856928391732783,9.04,3.9138727623672183,16.0,0.44,0.8522910301065006,3.0,0.046400000000000004,0.07765977079543823,0.21,1.36,1.717672844286711,5.0,0.14400000000000002,0.17359723500102184,0.56,0.0,0.0,0.0,0.0,0.0,0.0,4.84,2.427838544878963,10.0,0.5284,0.10982458741101649,0.67,2.4,1.131370849898476,6.0,0.28040000000000004,0.08928516114114372,0.5,9.04,3.9138727623672183,16.0,0.5379999999999999,0.1557433786714543,0.8333333333333334,1.64,0.8428523002282191,3.0,9.04,3.9138727623672183,16.0,13.72,5.325561003312234,30.0,0.6547777777777778,0.11524402450966899,0.8333333333333334,2.1519999999999997,1.953073475320373,6.0,7.24,3.3380233672040105,16.0,2.52,1.2039933554633928,6.0,0.0,0.0,0.0,8.078637805264782,1.8440725619464897,14.856928391732783,5.32,2.894408402420087,10.0,0.0,0.0,0.0,0.0,0.0,0.0,8.078637805264782,1.8440725619464897,14.856928391732783
